workload,session_id,nodes,edges,patterns,time_sec,cpu_peak_mb,gpu_peak_mb,examples_per_sec,node_dims,edge_dims,success
small,ASIA_Lvl-1_2025_07_24_htf_regenerated_rel,17,107,109,0.14978694915771484,305.9140625,0,113.49453404048057,37,17,True
small,ASIA_Lvl-1_2025_07_29_htf_regenerated_rel,24,159,161,0.15439224243164062,307.85546875,0,155.44822474242088,37,17,True
small,ASIA_Lvl-1_2025_07_30_htf_regenerated_rel,19,155,157,0.14204692840576172,308.703125,0,133.75861212377558,37,17,True
small,ASIA_Lvl-1_2025_08_05_htf_regenerated_rel,47,462,468,0.375169038772583,319.20703125,0,125.27686227458148,37,17,True
small,ASIA_Lvl-1_2025_08_06_htf_regenerated_rel,24,165,169,0.13687586784362793,319.1640625,0,175.34135401733846,37,17,True
medium,ASIA_Lvl-1_2025_07_24_htf_regenerated_rel,17,107,109,0.09331607818603516,317.1640625,0,182.1765373177038,37,17,True
medium,ASIA_Lvl-1_2025_07_29_htf_regenerated_rel,24,159,161,0.16029906272888184,316.82421875,0,149.7201517677733,37,17,True
medium,ASIA_Lvl-1_2025_07_30_htf_regenerated_rel,19,155,157,0.12740206718444824,316.82421875,0,149.13415786646905,37,17,True
medium,ASIA_Lvl-1_2025_08_05_htf_regenerated_rel,47,462,468,0.36491894721984863,318.36328125,0,128.7957239767121,37,17,True
medium,ASIA_Lvl-1_2025_08_06_htf_regenerated_rel,24,165,169,0.1558229923248291,318.32421875,0,154.0209159247149,37,17,True
medium,ASIA_Lvl-1_2025_08_07_htf_regenerated_rel,53,510,521,0.44755005836486816,319.13671875,0,118.42250717972513,37,17,True
medium,LONDON_Lvl-1_2025_07_24_htf_regenerated_rel,15,117,118,0.10214996337890625,319.04296875,0,146.84293076406004,37,17,True
medium,LONDON_Lvl-1_2025_07_25_htf_regenerated_rel,18,107,110,0.09556889533996582,317.7265625,0,188.3457994985593,37,17,True
medium,LONDON_Lvl-1_2025_07_28_htf_regenerated_rel,21,143,149,0.1175987720489502,317.4921875,0,178.57329319101055,37,17,True
medium,LONDON_Lvl-1_2025_07_30_htf_regenerated_rel,33,261,265,0.2143387794494629,317.671875,0,153.96187327725633,37,17,True
medium,LONDON_Lvl-1_2025_07_31_htf_regenerated_rel,30,260,262,0.2103712558746338,317.95703125,0,142.60503354069365,37,17,True
medium,LONDON_Lvl-1_2025_08_05_htf_regenerated_rel,49,484,495,0.47357797622680664,319.72265625,0,103.46764938353647,37,17,True
medium,LONDON_Lvl-1_2025_08_06_htf_regenerated_rel,30,243,248,0.1877450942993164,319.63671875,0,159.79112589845835,37,17,True
medium,LONDON_Lvl-1_2025_08_07_htf_regenerated_rel,52,499,508,0.4132699966430664,320.52734375,0,125.82573238412812,37,17,True
medium,LUNCH_Lvl-1_2025_07_24_htf_regenerated_rel,15,126,127,0.10574817657470703,320.44921875,0,141.84641745953013,37,17,True
medium,LUNCH_Lvl-1_2025_07_25_htf_regenerated_rel,19,155,159,0.1521439552307129,320.046875,0,124.88172777675048,37,17,True
medium,LUNCH_Lvl-1_2025_07_28_htf_regenerated_rel,20,153,156,0.12627625465393066,319.81640625,0,158.3829046467324,37,17,True
medium,LUNCH_Lvl-1_2025_07_29_htf_regenerated_rel,26,215,220,0.17967009544372559,320.26171875,0,144.70966877258354,37,17,True
medium,LUNCH_Lvl-1_2025_07_30_htf_regenerated_rel,24,190,192,0.19678092002868652,320.26171875,0,121.96304396026456,37,17,True
medium,LUNCH_Lvl-1_2025_08_04_htf_regenerated_rel,44,371,379,0.3287487030029297,321.04296875,0,133.8408322164784,37,17,True
large,ASIA_Lvl-1_2025_07_24_htf_regenerated_rel,17,107,109,0.1132960319519043,320.91796875,0,150.0493857297379,37,17,True
large,ASIA_Lvl-1_2025_07_29_htf_regenerated_rel,24,159,161,0.17147326469421387,320.1171875,0,139.96351001305598,37,17,True
large,ASIA_Lvl-1_2025_07_30_htf_regenerated_rel,19,155,157,0.14365482330322266,320.1171875,0,132.2614832075309,37,17,True
large,ASIA_Lvl-1_2025_08_05_htf_regenerated_rel,47,462,468,0.39112019538879395,321.61328125,0,120.16766342960005,37,17,True
large,ASIA_Lvl-1_2025_08_06_htf_regenerated_rel,24,165,169,0.1398160457611084,321.57421875,0,171.6541178757603,37,17,True
large,ASIA_Lvl-1_2025_08_07_htf_regenerated_rel,53,510,521,2.8420228958129883,321.70703125,0,18.648688607710472,37,17,True
large,LONDON_Lvl-1_2025_07_24_htf_regenerated_rel,15,117,118,0.2641298770904541,321.6171875,0,56.790243365248266,37,17,True
large,LONDON_Lvl-1_2025_07_25_htf_regenerated_rel,18,107,110,0.16762995719909668,320.04296875,0,107.37937478932315,37,17,True
large,LONDON_Lvl-1_2025_07_28_htf_regenerated_rel,21,143,149,0.1501450538635254,319.66796875,0,139.86474718699682,37,17,True
large,LONDON_Lvl-1_2025_07_30_htf_regenerated_rel,33,261,265,0.25778698921203613,320.41015625,0,128.0126669731058,37,17,True
large,LONDON_Lvl-1_2025_07_31_htf_regenerated_rel,30,260,262,0.20291709899902344,320.65625,0,147.84362751088008,37,17,True
large,LONDON_Lvl-1_2025_08_05_htf_regenerated_rel,49,484,495,0.41603994369506836,322.16796875,0,117.77715275318367,37,17,True
large,LONDON_Lvl-1_2025_08_06_htf_regenerated_rel,30,243,248,0.19055390357971191,322.08203125,0,157.43576718411592,37,17,True
large,LONDON_Lvl-1_2025_08_07_htf_regenerated_rel,52,499,508,0.431502103805542,322.0,0,120.50926181216023,37,17,True
large,LUNCH_Lvl-1_2025_07_24_htf_regenerated_rel,15,126,127,0.0928199291229248,321.921875,0,161.60322617931496,37,17,True
large,LUNCH_Lvl-1_2025_07_25_htf_regenerated_rel,19,155,159,0.13764190673828125,320.49609375,0,138.03935480294885,37,17,True
large,LUNCH_Lvl-1_2025_07_28_htf_regenerated_rel,20,153,156,0.1294999122619629,320.2421875,0,154.44025907556124,37,17,True
large,LUNCH_Lvl-1_2025_07_29_htf_regenerated_rel,26,215,220,0.1795179843902588,320.6640625,0,144.83228568051393,37,17,True
large,LUNCH_Lvl-1_2025_07_30_htf_regenerated_rel,24,190,192,0.1627950668334961,320.6640625,0,147.42461468164004,37,17,True
large,LUNCH_Lvl-1_2025_08_04_htf_regenerated_rel,44,371,379,0.3106670379638672,321.15234375,0,141.63073201579087,37,17,True
large,LUNCH_Lvl-1_2025_08_05_htf_regenerated_rel,34,286,292,0.23193693161010742,321.046875,0,146.5915745455966,37,17,True
large,LUNCH_Lvl-1_2025_08_06_htf_regenerated_rel,36,290,297,0.24292993545532227,320.515625,0,148.19087623979067,37,17,True
large,MIDNIGHT_Lvl-1_2025_07_24_htf_regenerated_rel,15,104,106,0.11074709892272949,320.44140625,0,135.4437285121645,37,17,True
large,MIDNIGHT_Lvl-1_2025_07_25_htf_regenerated_rel,17,118,121,0.09113430976867676,320.23046875,0,186.53786969090504,37,17,True
large,MIDNIGHT_Lvl-1_2025_07_28_htf_regenerated_rel,18,145,151,0.1521289348602295,320.15625,0,118.32068643968185,37,17,True
large,MIDNIGHT_Lvl-1_2025_07_29_htf_regenerated_rel,20,133,135,0.11397600173950195,320.15625,0,175.47553603179583,37,17,True
large,MIDNIGHT_Lvl-1_2025_07_30_htf_regenerated_rel,18,107,109,0.09607100486755371,320.04296875,0,187.3614211157188,37,17,True
large,MIDNIGHT_Lvl-1_2025_07_31_htf_regenerated_rel,20,133,136,0.10210990905761719,320.04296875,0,195.8673764826749,37,17,True
large,MIDNIGHT_Lvl-1_2025_08_05_htf_regenerated_rel,21,147,149,0.11956620216369629,320.2265625,0,175.63491705832737,37,17,True
large,MIDNIGHT_Lvl-1_2025_08_06_htf_regenerated_rel,18,122,125,0.11286282539367676,320.2265625,0,159.4856405305663,37,17,True
large,MIDNIGHT_Lvl-1_2025_08_07_htf_regenerated_rel,15,105,107,0.09079408645629883,320.36328125,0,165.20899747385891,37,17,True
large,NYAM_Lvl-1_2025_08_06_htf_regenerated_rel,58,486,501,0.4374542236328125,321.20703125,0,132.58530119641424,37,17,True
large,NYAM_Lvl-1_2025_08_07_FRESH_htf_regenerated_rel,69,726,739,0.6382608413696289,324.109375,0,108.10627180563753,37,17,True
large,NYPM_Lvl-1_2025_08_06_htf_regenerated_rel,50,474,484,0.4005701541900635,323.9609375,0,124.82208041959082,37,17,True
large,NY_AM_Lvl-1_2025_07_24_htf_regenerated_rel,17,107,109,0.09634613990783691,322.66796875,0,176.44713131488103,37,17,True
large,NY_AM_Lvl-1_2025_07_25_htf_regenerated_rel,18,125,130,0.10878705978393555,321.93359375,0,165.46085569138654,37,17,True
large,NY_AM_Lvl-1_2025_07_28_htf_regenerated_rel,27,214,219,0.17830300331115723,322.3203125,0,151.4276231953435,37,17,True
large,NY_AM_Lvl-1_2025_07_29_htf_regenerated_rel,44,388,397,0.31885814666748047,322.80078125,0,137.992397120357,37,17,True
large,NY_AM_Lvl-1_2025_07_30_htf_regenerated_rel,28,227,231,0.18421506881713867,322.71875,0,151.99625187988414,37,17,True
large,NY_AM_Lvl-1_2025_07_31_htf_regenerated_rel,27,216,221,0.21004796028137207,322.48828125,0,128.5420718384118,37,17,True
large,NY_AM_Lvl-1_2025_08_04_htf_regenerated_rel,108,1424,1435,1.3510777950286865,331.94921875,0,79.93618161543904,37,17,True
large,NY_AM_Lvl-1_2025_08_05_htf_regenerated_rel,64,658,670,0.5283007621765137,331.52734375,0,121.14311502472636,37,17,True
large,NY_PM_Lvl-1_2025_07_28_htf_regenerated_rel,24,177,185,0.18454504013061523,331.234375,0,130.0495531227149,37,17,True
large,NY_PM_Lvl-1_2025_07_29_htf_regenerated_rel,40,300,311,0.26592421531677246,328.47265625,0,150.41879488993308,37,17,True
large,NY_PM_Lvl-1_2025_07_30_htf_regenerated_rel,46,359,369,0.2816450595855713,328.35546875,0,163.3261384655106,37,17,True
large,NY_PM_Lvl-1_2025_08_04_htf_regenerated_rel,31,260,266,0.21163177490234375,328.31640625,0,146.48083925159523,37,17,True
large,NY_PM_Lvl-1_2025_08_05_htf_regenerated_rel,71,725,739,0.6448299884796143,329.28125,0,110.10654167527849,37,17,True
large,NY_PM_Lvl-1__htf_regenerated_rel,32,263,269,0.22696709632873535,329.125,0,140.98959945124264,37,17,True
large,PREASIA_Lvl-1_2025_07_30_htf_regenerated_rel,13,83,85,0.08327102661132812,327.796875,0,156.11672545696092,37,17,True
large,PREMARKET_Lvl-1_2025_07_24_htf_regenerated_rel,15,106,107,0.09581613540649414,327.5625,0,156.54983303556764,37,17,True
